"2020-00-06","5;37","5:47","7:06","13:05","16:26","19:00","20;13"
"2017-08-08","5:45","5:55","7:13","13:27","16:44","19:35","20:47"
"2017-08-09","5:45","5:55","7:13","13:26","16:44","19:35","20:47"
"2017-08-10","5:45","5:55","7:13","13:26","16:43","19:35","20:47"
"2017-08-11","5:45","5:55","7:13","13:26","16:43","19:34","20:46"
"2017-08-12","5:46","5:56","7:13","13:26","16:42","19:34","20:46"
"2017-08-13","5:46","5:56","7:13","13:26","16:42","19:34","20:45"
"2017-08-14","5:46","5:56","7:13","13:26","16:41","19:33","20:45"
"2017-08-15","5:46","5:56","7:13","13:25","16:40","19:33","20:45"
"2017-08-16","5:46","5:56","7:13","13:25","16:40","19:33","20:44"
"2017-08-17","5:46","5:56","7:13","13:25","16:39","19:32","20:44"
"2017-08-18","5:46","5:56","7:13","13:25","16:38","19:32","20:43"
"2017-08-19","5:46","5:56","7:12","13:24","16:37","19:32","20:43"
"2017-08-20","5:46","5:56","7:12","13:24","16:37","19:31","20:42"
"2017-08-21","5:46","5:56","7:12","13:24","16:36","19:31","20:42"
"2017-08-22","5:46","5:56","7:12","13:24","16:35","19:31","20:41"
"2017-08-23","5:46","5:56","7:12","13:24","16:34","19:30","20:41"
"2017-08-24","5:46","5:56","7:12","13:23","16:33","19:30","20:40"
"2017-08-25","5:46","5:56","7:12","13:23","16:33","19:29","20:40"
"2017-08-26","5:46","5:56","7:12","13:23","16:32","19:29","20:39"
"2017-08-27","5:46","5:56","7:12","13:22","16:31","19:28","20:39"
"2017-08-28","5:46","5:56","7:11","13:22","16:30","19:28","20:38"
"2017-08-29","5:46","5:56","7:11","13:22","16:29","19:28","20:38"
"2017-08-30","5:45","5:55","7:11","13:22","16:28","19:27","20:37"
"2017-08-31","5:45","5:55","7:11","13:21","16:27","19:27","20:37"
"2017-09-01","5:45","5:55","7:11","13:21","16:26","19:26","20:36"
"2017-09-02","5:45","5:55","7:11","13:21","16:25","19:26","20:36"
"2017-09-03","5:45","5:55","7:10","13:20","16:24","19:25","20:35"
"2017-09-04","5:45","5:55","7:10","13:20","16:23","19:25","20:34"
"2017-09-05","5:45","5:55","7:10","13:20","16:22","19:24","20:34"
"2017-09-06","5:45","5:55","7:10","13:19","16:21","19:24","20:33"
"2017-09-07","5:45","5:55","7:10","13:19","16:19","19:23","20:33"
"2017-09-08","5:44","5:54","7:09","13:19","16:18","19:23","20:32"
"2017-09-09","5:44","5:54","7:09","13:18","16:18","19:22","20:32"
"2017-09-10","5:44","5:54","7:09","13:18","16:19","19:22","20:31"
"2017-09-11","5:44","5:54","7:09","13:17","16:19","19:21","20:31"
"2017-09-12","5:44","5:54","7:09","13:17","16:19","19:21","20:30"
"2017-09-13","5:44","5:54","7:08","13:17","16:19","19:20","20:30"
"2017-09-14","5:43","5:53","7:08","13:16","16:20","19:20","20:29"
"2017-09-15","5:43","5:53","7:08","13:16","16:20","19:19","20:28"
"2017-09-16","5:43","5:53","7:08","13:16","16:20","19:19","20:28"
"2017-09-17","5:43","5:53","7:07","13:15","16:20","19:18","20:27"
"2017-09-18","5:43","5:53","7:07","13:15","16:21","19:18","20:27"
"2017-09-19","5:43","5:53","7:07","13:15","16:21","19:17","20:26"
"2017-09-20","5:42","5:52","7:07","13:14","16:21","19:17","20:26"
"2017-09-21","5:42","5:52","7:07","13:14","16:21","19:16","20:25"
"2017-09-22","5:42","5:52","7:06","13:14","16:21","19:16","20:25"
"2017-09-23","5:42","5:52","7:06","13:13","16:22","19:15","20:24"
"2017-09-24","5:42","5:52","7:06","13:13","16:22","19:15","20:24"
"2017-09-25","5:41","5:51","7:06","13:13","16:22","19:14","20:23"
"2017-09-26","5:41","5:51","7:06","13:12","16:22","19:14","20:23"
"2017-09-27","5:41","5:51","7:05","13:12","16:22","19:13","20:22"
"2017-09-28","5:41","5:51","7:05","13:12","16:22","19:13","20:22"
"2017-09-29","5:41","5:51","7:05","13:11","16:22","19:12","20:21"
"2017-09-30","5:40","5:50","7:05","13:11","16:22","19:12","20:21"
"2017-10-01","5:40","5:50","7:05","13:11","16:23","19:11","20:21"
"2017-10-02","5:40","5:50","7:04","13:10","16:23","19:11","20:20"
"2017-10-03","5:40","5:50","7:04","13:10","16:23","19:11","20:20"
"2017-10-04","5:40","5:50","7:04","13:10","16:23","19:10","20:19"
"2017-10-05","5:39","5:49","7:04","13:09","16:23","19:10","20:19"
"2017-10-06","5:39","5:49","7:04","13:09","16:23","19:09","20:18"
"2017-10-07","5:39","5:49","7:04","13:09","16:23","19:09","20:18"
"2017-10-08","5:39","5:49","7:04","13:08","16:23","19:08","20:18"
"2017-10-09","5:39","5:49","7:03","13:08","16:23","19:08","20:17"
"2017-10-10","5:38","5:48","7:03","13:08","16:23","19:08","20:17"
"2017-10-11","5:38","5:48","7:03","13:08","16:23","19:07","20:17"
"2017-10-12","5:38","5:48","7:03","13:07","16:23","19:07","20:16"
"2017-10-13","5:38","5:48","7:03","13:07","16:23","19:06","20:16"
"2017-10-14","5:38","5:48","7:03","13:07","16:23","19:06","20:16"
"2017-10-15","5:38","5:48","7:03","13:07","16:23","19:06","20:15"
"2017-10-16","5:38","5:48","7:03","13:06","16:23","19:05","20:15"
"2017-10-17","5:37","5:47","7:03","13:06","16:23","19:05","20:15"
"2017-10-18","5:37","5:47","7:03","13:06","16:23","19:05","20:14"
"2017-10-19","5:37","5:47","7:02","13:06","16:23","19:04","20:14"
"2017-10-20","5:37","5:47","7:02","13:06","16:24","19:04","20:14"
"2017-10-21","5:37","5:47","7:02","13:06","16:24","19:04","20:14"
"2017-10-22","5:37","5:47","7:02","13:05","16:24","19:03","20:14"
"2017-10-23","5:37","5:47","7:02","13:05","16:24","19:03","20:13"
"2017-10-24","5:37","5:47","7:02","13:05","16:24","19:03","20:13"
"2017-10-25","5:37","5:47","7:02","13:05","16:24","19:03","20:13"
"2017-10-26","5:37","5:47","7:02","13:05","16:24","19:02","20:13"
"2017-10-27","5:36","5:46","7:02","13:05","16:24","19:02","20:13"
"2017-10-28","5:36","5:46","7:02","13:05","16:24","19:02","20:13"
"2017-10-29","5:36","5:46","7:03","13:05","16:24","19:02","20:13"
"2017-10-30","5:36","5:46","7:03","13:05","16:24","19:02","20:13"
"2017-10-31","5:36","5:46","7:03","13:04","16:24","19:01","20:12"
"2017-11-01","5:36","5:46","7:03","13:04","16:24","19:01","20:12"
"2017-11-02","5:36","5:46","7:03","13:04","16:25","19:01","20:12"
"2017-11-03","5:36","5:46","7:03","13:04","16:25","19:01","20:12"
"2017-11-04","5:36","5:46","7:03","13:04","16:25","19:01","20:12"
"2017-11-05","5:36","5:46","7:03","13:04","16:25","19:01","20:12"
"2017-11-06","5:36","5:46","7:03","13:04","16:25","19:01","20:12"
"2017-11-07","5:36","5:46","7:04","13:05","16:25","19:01","20:12"
"2017-11-08","5:37","5:47","7:04","13:05","16:25","19:01","20:12"
"2017-11-09","5:37","5:47","7:04","13:05","16:25","19:01","20:13"
"2017-11-10","5:37","5:47","7:04","13:05","16:26","19:01","20:13"
"2017-11-11","5:37","5:47","7:04","13:05","16:26","19:01","20:13"
"2017-11-12","5:37","5:47","7:05","13:05","16:26","19:01","20:13"
"2017-11-13","5:37","5:47","7:05","13:05","16:26","19:01","20:13"
"2017-11-14","5:37","5:47","7:05","13:05","16:26","19:01","20:13"
"2017-11-15","5:37","5:47","7:05","13:05","16:27","19:01","20:13"
"2017-11-16","5:38","5:48","7:06","13:06","16:27","19:01","20:14"
"2017-11-17","5:38","5:48","7:06","13:06","16:27","19:01","20:14"
"2017-11-18","5:38","5:48","7:06","13:06","16:27","19:01","20:14"
"2017-11-19","5:38","5:48","7:07","13:06","16:28","19:01","20:14"
"2017-11-20","5:38","5:48","7:07","13:06","16:28","19:01","20:14"
"2017-11-21","5:39","5:49","7:07","13:07","16:28","19:02","20:15"
"2017-11-22","5:39","5:49","7:08","13:07","16:29","19:02","20:15"
"2017-11-23","5:39","5:49","7:08","13:07","16:29","19:02","20:15"
"2017-11-24","5:39","5:49","7:08","13:08","16:29","19:02","20:16"
"2017-11-25","5:40","5:50","7:09","13:08","16:30","19:02","20:16"
"2017-11-26","5:40","5:50","7:09","13:08","16:30","19:03","20:16"
"2017-11-27","5:40","5:50","7:10","13:08","16:30","19:03","20:17"
"2017-11-28","5:41","5:51","7:10","13:09","16:31","19:03","20:17"
"2017-11-29","5:41","5:51","7:10","13:09","16:31","19:03","20:17"
"2017-11-30","5:41","5:51","7:11","13:09","16:31","19:04","20:18"
"2017-12-01","5:42","5:52","7:11","13:10","16:32","19:04","20:18"
"2017-12-02","5:42","5:52","7:12","13:10","16:32","19:04","20:18"
"2017-12-03","5:42","5:52","7:12","13:11","16:32","19:05","20:19"
"2017-12-04","5:43","5:53","7:13","13:11","16:33","19:05","20:19"
"2017-12-05","5:43","5:53","7:13","13:11","16:33","19:05","20:20"
"2017-12-06","5:43","5:53","7:14","13:12","16:34","19:06","20:20"
"2017-12-07","5:44","5:54","7:14","13:12","16:34","19:06","20:21"
"2017-12-08","5:44","5:54","7:14","13:13","16:35","19:06","20:21"
"2017-12-09","5:45","5:55","7:15","13:13","16:35","19:07","20:22"
"2017-12-10","5:45","5:55","7:15","13:14","16:36","19:07","20:22"
"2017-12-11","5:46","5:56","7:16","13:14","16:36","19:08","20:22"
"2017-12-12","5:46","5:56","7:16","13:15","16:37","19:08","20:23"
"2017-12-13","5:47","5:57","7:17","13:15","16:37","19:09","20:23"
"2017-12-14","5:47","5:57","7:17","13:15","16:37","19:09","20:24"
"2017-12-15","5:47","5:57","7:18","13:16","16:38","19:10","20:24"
"2017-12-16","5:48","5:58","7:18","13:16","16:38","19:10","20:25"
"2017-12-17","5:48","5:58","7:19","13:17","16:39","19:10","20:25"
"2017-12-18","5:49","5:59","7:19","13:17","16:39","19:11","20:26"
"2017-12-19","5:49","5:59","7:20","13:18","16:40","19:11","20:26"
